student_id,name,gender,score,latitude,longitude,socioeconomic_status,disability,choice_1,choice_2,choice_3
ST10000,Daniel Adams,Male,311,-1.3725686884315318,36.43027335383188,8,0,S1001,S1021,S1015
ST10001,Matthew Lynch,Male,260,-0.7701696945406711,37.08512408066735,10,0,S1024,S1049,S1042
ST10002,Nicholas Martin,Male,165,-1.199783070733848,36.1018792761581,4,0,S1012,S1006,S1009
ST10003,William Bowman,Male,330,-0.9832795772444276,37.430435398490054,3,0,S1040,S1006,S1034
ST10004,Michael Cameron,Male,270,-1.649275709013184,36.90931650599573,1,0,S1004,S1011,S1034
ST10005,Crystal Johnson,Female,185,-0.9248494675599772,36.34465136901929,3,0,S1011,S1003,S1031
ST10006,Derek Clark,Male,237,-1.848348677164724,36.34195268394305,5,0,S1025,S1016,S1049
ST10007,Sherri Edwards,Female,325,-1.0222953992081671,36.07275218131404,3,0,S1011,S1026,S1000
ST10008,Jennifer Rocha,Female,275,-0.8785083754819881,38.18911107953087,3,0,S1030,S1019,S1034
ST10009,Deborah Wright,Female,258,-1.7736078130330633,37.31049000040654,1,0,S1046,S1049,S1005
ST10010,Dennis Richards,Male,146,-1.4136672302035078,37.12496468154954,1,0,S1012,S1023,S1046
ST10011,James Robinson,Male,142,-1.4008284884520121,36.58427132579976,3,1,S1001,S1017,S1000
ST10012,Ms. Ann Williams MD,Female,264,-2.166634717085807,37.37006489477054,7,0,S1043,S1025,S1012
ST10013,Ricky Henderson,Male,253,-0.9745437245490105,36.28179956497976,8,0,S1043,S1011,S1030
ST10014,James Ferrell,Male,204,-1.8056308794677984,37.04678701924436,2,0,S1011,S1006,S1015
ST10015,Tricia Valencia,Female,377,-0.9637013344180101,36.103949590312986,7,0,S1011,S1008,S1027
ST10016,Michelle Maldonado,Female,246,-1.355967414231943,36.85607562555192,10,0,S1006,S1001,S1016
ST10017,Debra Davidson,Female,246,-1.7488062686612076,36.59438341300621,7,0,S1008,S1048,S1007
ST10018,Jessica Chavez,Female,243,-1.2520006437295927,36.585934067105285,6,0,S1032,S1039,S1013
ST10019,Sherri Baker,Female,330,-1.649751854629984,37.16169887446734,5,0,S1021,S1046,S1019
ST10020,Christopher Gaines,Male,414,-0.3703931208397334,35.809328706671195,7,0,S1003,S1046,S1030
ST10021,Edwin Fowler,Male,285,-1.6883603692163502,36.76453177926655,8,0,S1014,S1003,S1041
ST10022,Christian Farmer,Male,233,-0.46144913469592297,36.584427344419524,10,0,S1046,S1043,S1034
ST10023,Paula Moreno,Female,228,-1.9225419771675227,37.28083097352739,6,0,S1008,S1015,S1006
ST10024,Erika Smith,Female,223,-0.3302877939273604,36.86518290726128,7,0,S1033,S1008,S1013
ST10025,Shawn Decker,Male,229,-1.6321021670589713,36.69019707756636,5,0,S1002,S1031,S1034
ST10026,Anthony Humphrey,Male,294,-0.9921516831444971,37.878456078479104,1,0,S1041,S1003,S1029
ST10027,Angelica Tucker,Female,250,-1.4542977237836998,37.08420450031525,10,0,S1026,S1020,S1048
ST10028,Paige Cannon,Female,280,-0.9141323591041739,37.308216433449395,10,0,S1004,S1026,S1025
ST10029,Karen Pierce,Female,363,-1.120065934298989,37.285016271442515,7,0,S1049,S1047,S1038
ST10030,Shelia Henderson,Female,318,-0.38762158548991876,37.06250886421406,8,0,S1022,S1025,S1048
ST10031,Kimberly Blair,Female,287,-1.8645742600357007,37.11755805846399,3,0,S1032,S1008,S1035
ST10032,Eric Carney,Male,262,-1.507112692924958,36.244142044955254,2,0,S1032,S1008,S1015
ST10033,Jessica Holmes,Female,374,-1.3063107287995335,35.963687777028014,10,0,S1002,S1046,S1038
ST10034,Courtney Morgan,Female,296,-1.3840458688640103,37.046224337026004,5,0,S1021,S1027,S1011
ST10035,Crystal Robinson,Female,275,-0.3568880510922414,37.66590851618446,10,0,S1010,S1038,S1049
ST10036,Mark Perez,Male,338,-1.587885694417915,37.59832988791966,4,0,S1042,S1030,S1044
ST10037,Scott Jones,Male,232,-1.2860267454633874,37.28736704198704,3,0,S1013,S1026,S1005
ST10038,Maureen Lewis,Female,317,-1.447233378296728,36.68637976885573,9,0,S1009,S1015,S1031
ST10039,Taylor Duncan,Female,225,-1.7012103416167363,37.868093637842726,4,0,S1010,S1040,S1015
ST10040,Richard Aguirre,Male,190,-1.1574411728737308,36.650605565884675,9,0,S1029,S1032,S1023
ST10041,Brent Jordan,Male,294,-1.1298408418127226,37.65954662483411,10,0,S1016,S1033,S1027
ST10042,John Daniel,Male,261,-1.2507347820997605,36.10216920168313,2,0,S1013,S1014,S1022
ST10043,William Garcia,Male,232,-1.2699247212504663,36.233836261005465,2,0,S1040,S1042,S1016
